,target
22962,0
12508,0
3958,0
7607,1
15765,0
3921,0
27026,0
854,1
14585,0
7039,0
21566,0
24485,0
945,1
10595,1
12167,0
20739,0
23557,0
5896,1
23036,0
6007,0
6378,0
6154,0
27148,1
18956,0
8939,1
13067,0
11516,0
18153,0
19721,0
3235,0
31051,0
6473,1
14229,0
23280,1
17592,0
4465,0
2809,0
30544,1
14892,0
26361,0
23691,1
19877,0
25473,0
226,0
23304,1
6965,0
4814,0
24500,1
2430,1
12290,0
25857,1
24519,1
21689,1
6575,0
21453,0
10066,0
7193,0
29768,0
4318,0
14387,0
31653,0
1209,0
19187,1
7859,0
11025,0
19761,1
22135,0
19611,0
30779,0
19523,1
23598,0
19234,0
31327,0
8292,0
13208,0
16794,0
20473,0
6972,0
191,0
30351,0
5278,0
23611,1
31204,1
12027,0
1595,0
26879,0
27246,0
28454,0
31713,0
8186,0
20498,1
21895,0
18498,0
432,0
9627,0
32394,0
2235,0
9083,0
1002,0
18258,0
13356,1
21471,0
3717,0
3777,1
2537,0
3105,0
17865,0
2986,0
17619,0
7041,0
9776,0
32259,0
4582,0
17146,1
6885,0
20181,0
28440,0
25437,0
8744,0
15911,0
18736,0
32027,1
3856,0
20718,0
30594,1
10530,1
17658,1
21298,0
5354,1
30228,0
3704,0
19826,0
13545,1
25019,0
15097,1
22221,0
28368,1
26103,1
14942,0
23673,0
5623,0
6660,0
5812,1
20361,0
9660,1
14697,0
13878,1
20617,0
22266,0
25652,0
6151,0
3955,1
18757,0
32167,0
31064,0
30074,0
9838,0
28682,0
31918,0
2801,0
19116,0
8802,0
5208,0
31542,0
30602,0
16259,0
28608,0
5395,0
9477,0
9102,0
2173,0
3832,1
12090,1
24199,0
13455,1
31877,0
8394,0
14944,1
39,0
9514,1
29511,0
11414,0
12752,1
7222,0
440,0
26221,0
9255,0
25617,0
16559,0
13335,0
20095,0
25130,0
5397,1
8281,1
8422,0
3163,0
16347,1
24589,0
20253,0
27501,0
17583,0
6404,0
27574,0
1221,1
12428,1
1203,0
9340,0
27146,0
9760,0
13751,0
26914,0
1844,0
9017,0
7204,0
2942,0
12686,0
29748,0
12394,0
6008,0
24613,0
28340,1
9961,0
24436,1
2288,0
23949,0
16368,0
376,1
6034,0
9199,1
10221,0
16230,0
12440,0
13628,1
22468,0
29265,0
6822,0
5625,0
27915,0
20546,1
2908,0
4999,1
13032,0
9230,0
11766,0
5898,0
21003,1
7814,0
24394,0
32041,0
9192,0
27880,1
18034,1
2120,0
16352,1
13875,0
1787,1
15860,0
7773,0
16051,0
24208,0
23643,0
16464,0
3246,0
15985,1
16493,0
10426,1
6424,1
871,1
13435,0
192,0
15223,0
2994,0
31922,0
6695,0
17201,0
6541,0
29679,0
9306,0
28476,1
28099,0
23940,0
26475,0
11792,0
8348,0
16111,1
8136,0
24057,0
31583,0
3068,0
246,0
26146,0
12366,0
2884,0
4377,0
14465,1
30428,0
32544,0
17221,1
21355,0
5312,0
20463,1
3380,0
15790,0
18834,0
7300,1
32046,0
23905,1
24260,1
26771,0
20066,0
13436,0
24729,0
12257,0
806,0
22773,0
8849,0
26665,0
1859,0
18918,0
17943,1
18014,1
20549,0
17523,1
11069,1
23172,0
17873,0
19238,0
27919,1
5656,0
24062,1
13124,0
15064,0
18123,0
4215,0
12606,0
20802,0
12497,1
4574,0
9404,0
12421,0
22027,0
27726,0
21431,1
8183,1
10206,1
21107,0
7831,0
11303,0
4450,1
16068,0
5005,1
17216,0
29045,1
23397,0
4424,0
23252,0
29441,0
6647,0
29326,1
12214,0
16323,0
20062,0
29015,1
13630,0
21171,0
30404,0
27848,0
14404,0
20547,0
26129,0
23206,0
9450,1
26101,1
3363,1
2008,1
30177,0
10984,1
22089,0
28503,0
26764,0
25339,0
21998,1
6949,1
31821,1
26504,0
1800,0
9571,1
5248,0
4141,1
22486,0
11940,1
21186,0
1249,1
9347,0
6259,0
32144,1
13298,0
27083,1
7786,0
29201,0
15925,0
8735,1
6205,0
8156,0
24011,1
8022,0
31189,0
20695,1
26860,0
7246,1
15464,0
9384,0
13926,0
30224,0
10522,0
16858,1
12854,1
10761,0
8139,0
9479,0
27463,0
27198,1
1820,1
24789,1
20744,0
27774,0
28466,0
6552,0
11160,0
26608,0
11249,0
3672,1
12928,0
30722,0
18484,0
31553,1
14370,0
25406,0
5960,0
15864,0
24002,0
5807,0
12890,1
32131,0
9855,0
1220,0
7411,0
7625,0
22145,1
19702,0
26061,0
22245,1
9732,0
9822,0
32231,0
29342,1
19413,0
27276,1
30630,1
20101,0
20750,1
26268,0
24819,0
28670,0
6506,0
26933,0
2955,1
25831,0
15754,0
15178,1
793,0
26407,0
20204,0
31206,0
31309,0
20934,0
14366,1
18316,0
14875,1
26218,0
7438,0
7779,0
14486,0
27909,1
30360,0
32373,0
24234,0
7701,1
4731,0
12170,0
13183,0
7909,0
8924,0
31826,0
