,pred
24799,1
12841,0
5726,1
18119,1
32189,1
15619,0
28825,1
19871,1
26873,1
29808,1
30022,1
797,0
3738,1
8820,1
18901,0
17652,0
17981,0
15955,1
9886,0
13480,0
29581,0
11495,0
20803,1
31270,1
19951,0
30483,1
1703,1
12759,0
31626,1
17525,1
31167,1
5988,1
20425,0
26270,0
5446,0
14326,0
7967,1
20446,1
9614,0
14892,0
20870,1
9700,0
23356,0
21194,0
9266,1
5312,1
22319,0
19004,0
18878,1
13113,1
10653,0
5330,1
16857,0
17790,1
27713,0
11009,0
23297,0
9117,0
25392,1
13260,0
10457,1
21513,0
28136,1
1384,1
13488,0
11880,0
14033,0
27565,0
30771,0
21398,0
22648,1
3913,0
26443,1
17586,0
32259,1
14310,1
24351,1
7171,1
15067,0
31841,1
23442,0
11158,1
26371,1
2593,1
9339,1
7373,1
20313,1
22716,1
28169,1
17767,1
32046,1
15466,0
8147,1
17210,0
12796,1
2934,1
19923,0
23419,1
16108,0
32131,0
3860,1
26943,1
20166,1
3777,1
5375,1
5276,1
2376,0
26147,0
20802,1
32097,0
6609,0
19596,1
13680,0
23553,1
30587,0
28785,1
13055,0
15642,1
32337,0
4070,0
22947,1
10366,0
22799,0
30734,0
4402,1
11941,0
21652,0
1675,0
22594,1
4771,0
9102,0
31246,0
27357,1
24004,0
12280,1
11794,0
14259,0
17561,1
5583,0
7466,1
5608,1
9194,1
10410,0
24978,0
5892,0
16418,0
2853,0
30129,1
31682,0
14647,1
25182,1
10350,0
25827,0
19742,1
1564,1
24740,0
15635,1
26298,0
461,1
7458,0
14416,1
20473,0
21799,1
28886,0
21820,0
3949,0
16065,1
24567,1
5319,1
10814,1
27023,1
21118,1
3135,1
1510,1
1080,1
19954,0
27523,0
31457,0
18608,0
30642,1
8240,0
7733,0
23624,1
32047,0
22784,0
27066,1
24729,1
9120,1
14897,0
3448,0
4651,1
22702,0
28708,0
2402,1
13794,0
25908,0
16719,0
2941,0
7009,1
7592,1
14734,1
11118,1
22360,1
19787,0
28079,0
8570,0
26793,0
162,1
770,1
2468,1
14586,1
29738,0
25978,1
20368,1
28189,1
7467,1
12164,1
17957,0
5208,0
16858,0
17205,0
15335,1
2390,0
5790,1
2425,0
2928,1
4405,0
26887,1
15628,1
933,0
13295,0
7057,0
5045,0
8355,0
25339,0
15636,1
7653,1
23115,0
10923,0
31821,1
20265,1
30402,0
14619,0
10309,0
10682,1
26052,1
19849,0
26534,0
8005,0
4267,0
7469,1
29051,0
22235,1
5589,1
3942,0
28022,0
9809,0
8432,1
9930,1
30351,0
3408,0
3571,0
8326,0
25888,1
10029,0
3906,0
4454,1
21524,0
27717,0
9436,1
18325,0
12043,1
3280,0
21637,1
14776,0
14927,1
1800,0
21043,0
18750,0
9412,1
2297,1
12301,0
31322,1
8149,1
12788,0
2611,1
9585,1
17257,1
2537,0
23931,0
26286,0
22595,0
16548,0
10318,1
9189,0
16607,1
5909,1
12115,0
11820,0
14486,1
31281,0
19359,1
12929,1
11739,1
24294,0
28653,0
4623,0
17658,0
21661,0
23659,1
22252,0
19482,1
6741,0
26018,0
18619,1
6634,0
15475,1
15983,1
18139,0
14178,1
26205,0
4508,1
16790,1
24410,0
23643,1
3955,1
29375,1
27819,0
8274,1
2025,1
20715,1
13881,1
2185,1
20552,1
16907,1
11109,0
27354,1
1875,1
29507,1
20266,0
1331,0
27818,1
25722,1
12983,0
22471,1
22375,0
12534,0
28949,1
7027,1
19554,0
14488,0
9571,0
1958,1
27780,0
14006,0
2472,1
1374,0
17217,1
32179,1
26114,1
9505,1
5034,1
13439,0
15837,0
17988,0
25467,0
3003,1
1648,1
21566,0
12962,0
15345,1
32486,0
9669,1
20708,0
17621,1
11910,1
22672,0
23575,0
6994,1
29131,0
29865,1
15485,0
10349,1
9781,0
13891,0
3462,1
11165,0
978,0
28982,1
32471,0
3626,0
17242,0
14344,0
23388,1
25545,1
20643,0
24498,0
26935,0
14274,0
10667,0
20321,1
20638,0
16642,0
28195,0
3524,1
24223,0
5141,0
30865,0
29085,0
5942,1
13419,1
3865,1
18637,1
23362,0
14383,0
11726,0
1411,0
1355,1
4656,1
13511,0
20718,1
4597,1
25476,0
6769,0
26375,1
5672,1
19598,1
8275,0
22514,1
16086,1
24504,0
11144,0
6399,0
32144,1
6993,1
4545,0
10660,0
16060,0
3359,0
8008,1
21400,1
13279,1
25501,1
14440,0
7814,1
12016,1
21600,0
8374,0
13257,0
8442,1
9489,1
16901,0
27125,1
29275,1
972,1
175,0
13740,0
4068,0
3601,1
14773,0
20262,0
18908,1
6342,1
27281,1
23368,0
29531,1
12146,0
579,0
23476,0
31233,1
10330,0
18489,1
30092,1
8136,1
14838,0
23697,0
5570,0
1169,0
25059,0
6493,1
22050,0
10931,0
27522,1
27312,1
1305,0
12502,0
913,0
27708,1
19258,0
21700,0
29949,1
3249,1
16896,1
31257,1
7251,0
28554,1
2986,1
25490,1
3862,1
28645,0
32048,1
12577,1
12910,1
18596,0
23189,1
3251,0
6986,0
26278,1
15529,1
12027,0
25749,1
23035,1
8622,0
19187,1
3688,0
16025,1
20678,0
2121,0
5131,0
6165,0
11400,0
27459,1
28891,1
7998,0
10729,0
22307,1
30619,0
5257,1
26774,1
10533,0
10743,1
27382,1
29886,1
8493,0
14580,1
15201,1
27909,0
18034,1
3460,0
22313,0
1944,0
15744,0
30230,0
2133,0
24207,1
22545,1
28697,1
26564,0
6952,0
18457,0
24634,1
9818,0
1303,1
24260,0
11147,0
10580,1
28612,0
31590,1
23302,0
14625,1
27451,1
801,0
16164,0
21991,0
10947,0
9529,0
30319,0
3279,1
548,1
26129,0
10836,1
4276,1
8235,1
25014,0
9363,1
13188,0
27323,1
29294,0
14913,0
10697,1
20426,0
30947,0
7968,0
14761,0
23292,0
21361,1
12719,0
32405,0
10268,0
13133,0
29087,1
16058,1
10595,0
15881,1
31215,0
3392,1
3915,1
14839,1
8885,1
17662,0
20478,0
1583,0
26901,1
8709,1
3977,0
9838,0
9309,1
181,0
27848,1
30266,0
25925,1
1610,1
10864,0
23355,1
6176,0
10281,1
13572,0
25360,1
31110,1
2585,1
25504,1
7202,1
11336,0
31185,1
2563,0
27015,0
8155,1
17592,1
6396,1
12086,1
23118,0
18891,0
18680,1
12177,0
31713,1
29743,0
30836,1
19028,0
11515,0
22575,1
3383,0
22374,1
5704,1
2031,1
26665,1
1980,1
14253,0
8481,0
23506,1
22588,1
29792,0
19617,0
3046,1
27592,1
18791,1
25489,1
23421,0
2464,1
8818,1
31203,0
26746,1
18787,0
21459,0
18772,1
16834,1
1913,0
14075,0
10087,0
11059,0
28924,1
19034,1
23608,1
24432,1
13865,0
25985,0
29361,1
12839,0
8093,0
18439,0
17557,0
24540,1
5684,1
1572,0
6849,0
2501,0
13137,0
4432,0
16252,0
1320,1
17155,1
14843,1
17959,0
26090,1
5385,0
16198,1
20476,1
17319,0
28132,1
28134,1
21870,0
8702,1
6443,1
19249,0
24920,0
2992,1
31993,1
29861,0
27993,0
188,0
10208,1
8544,1
22292,1
16951,1
18946,1
15811,0
10062,0
19396,0
8119,0
9762,0
19654,1
28397,0
27184,0
3784,1
2419,1
15807,0
4031,1
20300,1
1048,0
29515,1
26513,1
27981,0
25224,0
14357,0
20314,1
23967,0
488,1
31208,0
19920,1
3478,1
9800,1
29234,0
32435,0
3592,0
22757,1
300,0
20127,1
6294,0
20776,0
25948,1
18888,1
647,0
32027,0
14398,1
14168,1
26623,0
20450,1
15145,0
8038,1
26533,0
28832,0
2613,0
5515,1
2166,0
15743,0
5097,0
13905,0
22831,0
15734,0
10955,1
7457,0
18594,1
15113,0
23101,0
25482,1
22268,1
5783,0
18507,0
17429,0
5151,1
616,0
29760,0
11193,1
20971,0
5625,1
23286,0
19988,0
4291,1
22136,1
15646,1
26961,0
21755,0
7548,0
32120,1
8288,0
27315,1
2867,0
27680,1
12680,0
28483,0
21410,1
2878,0
22100,1
25617,1
8291,1
28282,1
13849,0
15530,0
8340,0
21435,0
21189,1
1529,0
8469,1
28872,0
26955,1
416,0
22438,0
26776,1
32479,1
7576,1
31293,1
8372,1
15802,1
11359,1
8418,1
15574,1
7642,1
29427,0
27627,0
20904,0
8419,0
9908,0
16348,1
26115,1
24446,1
4725,0
31419,1
14515,0
32465,1
4959,1
23415,0
18954,1
25062,0
10213,0
3670,1
7978,0
10422,0
6512,0
9097,0
15929,0
13045,0
8073,1
15154,1
21635,0
25370,1
14638,0
27335,1
18706,1
27101,0
4424,0
17820,0
16444,0
27533,1
15716,1
23544,0
23285,0
15311,0
14408,1
30779,1
23301,1
4630,1
20392,1
10882,0
19479,1
25675,0
9726,0
11945,0
19165,1
5491,0
28199,0
26357,0
7956,0
25420,0
17250,0
21069,1
30078,1
64,0
597,1
16353,1
23240,0
17995,1
9240,0
25674,1
26778,1
28407,0
2159,0
13093,0
28349,1
32473,0
29347,1
6726,1
9961,0
3928,1
15153,0
11814,1
23502,1
10850,0
22145,1
26952,1
27510,1
27550,1
2923,0
23935,0
10747,1
20276,0
18182,1
32018,1
3477,0
7817,0
31429,1
27814,1
19677,1
13614,0
12520,0
27847,0
31565,1
3068,1
1452,0
27956,1
10151,0
8629,0
30746,0
1456,1
12675,0
13514,0
30512,0
24171,0
3641,1
3071,0
29712,0
23140,0
30812,1
17633,1
27278,0
6660,1
24135,1
1074,1
21007,1
1359,0
1341,1
16930,1
12706,0
28328,0
16667,0
18697,0
739,0
2543,1
13710,0
26763,1
6008,0
20488,0
19155,0
23899,1
20780,0
6046,0
9704,1
32532,0
204,0
2214,0
22256,0
10031,1
13483,0
31892,0
31753,0
8420,0
8262,0
3192,0
22020,1
11120,1
17034,0
29204,0
2825,1
976,0
15178,1
19543,0
16788,1
20812,1
9181,1
21903,0
22037,0
17178,1
4911,0
21726,0
5255,0
31115,0
4376,1
16187,0
23885,1
23698,0
23409,0
27899,1
1991,0
17118,1
30629,0
2542,0
11259,0
1595,0
10145,0
28543,1
24704,0
7541,1
17193,0
12477,1
2764,1
4093,1
27228,0
10975,1
28258,0
10276,0
25937,0
24683,1
24785,1
4230,1
6351,1
27017,0
15592,0
5132,0
10505,1
17809,0
32093,1
1897,1
26816,0
30802,0
18605,0
15622,0
6252,0
12551,1
26011,1
15002,1
13931,1
17738,0
12021,1
12170,1
6310,0
30501,1
2943,0
28382,0
15457,0
10745,1
25602,0
6523,0
23252,1
4899,0
342,1
4777,0
20070,1
21536,0
8860,0
30962,0
20064,1
26081,0
22245,1
32302,1
22912,1
30101,0
26504,0
1072,0
29010,0
32079,0
5522,0
7307,1
28454,1
20834,0
24388,1
4450,0
3263,0
9672,0
25596,1
24956,1
8756,1
14710,1
28176,1
368,1
12028,0
26782,0
8056,1
19013,0
11075,0
18936,1
13870,1
29320,1
3704,1
17053,1
20043,0
8550,1
19806,0
27052,0
8268,1
5795,0
23740,1
24079,0
11430,1
19056,0
10544,0
23049,0
31051,0
15774,0
22190,1
16943,1
10890,1
4786,1
29502,0
12596,1
2360,0
5262,1
4015,1
13380,1
28544,0
28425,0
19069,0
26491,0
199,1
14711,0
8924,0
32184,1
8061,0
6681,1
13370,1
25565,0
30717,0
1356,1
2281,1
23392,1
8041,1
26161,1
30111,0
11529,1
23901,0
18252,0
16396,1
1735,1
9516,1
9573,1
28386,0
8303,1
8671,1
1051,1
4447,1
11036,0
23760,0
465,1
24912,0
26498,1
9003,0
1289,0
7282,0
14783,0
2326,0
18098,0
20816,1
12214,1
16956,1
13075,1
2094,1
27366,0
2257,0
21654,0
7937,0
6138,1
10838,1
16766,0
21667,1
2773,1
29265,0
15274,1
26709,1
29388,0
29338,1
27616,0
26860,0
2780,0
8967,1
20479,0
4805,1
10539,0
2767,0
22895,1
20653,0
21286,1
13556,0
17391,0
11249,0
7731,1
16815,0
1076,1
2409,1
5214,1
24258,0
15016,1
17583,1
15163,1
21649,0
16197,1
26682,1
5210,1
28893,1
6607,1
1203,0
22177,1
13145,0
1847,1
13220,1
20991,0
4549,0
22462,0
24574,1
24468,0
4349,0
26101,0
30346,1
32133,0
8218,1
3958,1
21293,0
25085,0
31559,0
16068,1
32143,0
4582,0
196,1
27118,0
241,1
31146,0
5198,1
22674,1
25721,1
24580,0
9708,0
15943,1
23696,0
19783,1
29172,1
1541,0
23354,0
4468,1
28237,0
3771,0
23811,0
12422,1
31529,1
28963,1
15899,1
3293,0
55,0
17940,0
21328,0
3914,1
14098,1
7410,0
4269,1
19831,0
15003,1
9839,0
29231,1
22584,0
17698,1
16706,0
26711,1
18043,0
23183,0
18644,1
32297,1
7773,0
1901,1
5389,0
7185,1
4328,0
6521,1
29494,1
31724,0
18746,0
8417,0
30830,1
3235,0
1066,0
4367,0
3310,1
1110,0
18100,1
20702,0
9514,0
31261,0
32543,1
22415,1
23222,0
23324,1
7955,0
18515,0
24702,0
27325,1
18215,1
9224,1
13658,1
8023,1
6360,1
3338,1
8959,0
6999,1
24107,1
25118,1
17278,0
20293,0
2394,1
31787,0
15058,0
32368,0
7368,0
32419,0
965,1
28131,1
18640,0
19380,0
21658,0
11160,0
26459,0
1821,0
16722,0
22343,0
3939,0
1462,1
30516,1
19626,0
8994,0
24531,0
14282,1
30849,0
8717,1
7238,1
784,1
4362,1
21739,1
28216,0
19381,0
20949,0
22761,0
14336,1
1722,1
24166,0
22660,1
14956,1
27064,1
26652,0
11871,0
3316,1
27733,0
31123,1
13827,0
10656,1
20331,0
24143,1
29907,0
32010,1
19087,1
4206,0
12358,0
20676,1
9261,0
16615,1
20009,0
25274,1
19197,1
716,0
12318,0
6426,1
7506,1
20923,0
31910,0
11472,0
17512,1
13198,0
20463,0
334,0
23750,0
20804,0
18689,1
6873,1
11392,0
32272,0
13834,0
37,1
27065,1
2441,0
31351,0
15613,1
28101,1
28768,0
14442,0
11145,0
6766,1
18092,0
30798,0
20967,1
23761,0
25219,0
26856,0
12103,1
974,0
29511,1
8992,0
3237,0
2440,0
21749,1
2510,1
31597,0
23063,0
27008,0
4456,1
15084,0
22325,0
22920,0
6898,1
1106,1
13482,1
20434,1
11215,1
309,0
24469,0
30374,0
10393,1
19386,0
14475,1
22528,1
15365,0
25317,1
17867,1
12639,1
3570,0
31848,1
6787,1
22622,0
10078,0
32090,1
13122,1
29057,0
11194,1
5925,0
2022,0
31243,1
9462,0
28980,0
8592,0
7896,0
7816,0
678,0
22285,1
27246,0
17665,1
2332,0
28750,1
11548,1
15980,1
13450,1
26266,0
11523,0
18258,0
572,1
149,0
18218,0
10094,0
7516,0
10399,0
9657,0
22564,1
32518,1
