,target
24799,0
12841,0
5726,0
18119,0
32189,0
15619,1
28825,0
19871,0
26873,0
29808,1
30022,0
797,1
3738,0
8820,0
18901,0
17652,0
17981,0
15955,0
9886,0
13480,1
29581,1
11495,0
20803,1
31270,0
19951,0
30483,0
1703,0
12759,1
31626,1
17525,0
31167,0
5988,1
20425,0
26270,1
5446,0
14326,0
7967,0
20446,0
9614,0
14892,0
20870,0
9700,0
23356,1
21194,0
9266,0
5312,0
22319,0
19004,0
18878,0
13113,0
10653,0
5330,0
16857,1
17790,0
27713,0
11009,0
23297,0
9117,1
25392,1
13260,0
10457,0
21513,0
28136,1
1384,0
13488,1
11880,1
14033,0
27565,0
30771,0
21398,0
22648,0
3913,0
26443,0
17586,0
32259,0
14310,0
24351,0
7171,1
15067,0
31841,0
23442,0
11158,1
26371,0
2593,1
9339,0
7373,1
20313,0
22716,0
28169,0
17767,1
32046,0
15466,0
8147,0
17210,1
12796,0
2934,0
19923,0
23419,0
16108,0
32131,0
3860,0
26943,0
20166,0
3777,1
5375,0
5276,1
2376,0
26147,0
20802,0
32097,1
6609,0
19596,1
13680,0
23553,1
30587,0
28785,0
13055,0
15642,0
32337,0
4070,1
22947,0
10366,0
22799,0
30734,1
4402,0
11941,1
21652,0
1675,0
22594,0
4771,0
9102,0
31246,0
27357,1
24004,1
12280,0
11794,0
14259,1
17561,0
5583,0
7466,0
5608,0
9194,0
10410,0
24978,0
5892,1
16418,0
2853,0
30129,0
31682,0
14647,0
25182,0
10350,1
25827,0
19742,1
1564,0
24740,0
15635,1
26298,0
461,1
7458,0
14416,1
20473,0
21799,1
28886,0
21820,0
3949,0
16065,0
24567,0
5319,1
10814,0
27023,1
21118,0
3135,0
1510,0
1080,0
19954,1
27523,0
31457,1
18608,0
30642,0
8240,0
7733,0
23624,0
32047,0
22784,0
27066,0
24729,0
9120,0
14897,1
3448,0
4651,0
22702,1
28708,0
2402,1
13794,0
25908,1
16719,1
2941,0
7009,1
7592,0
14734,1
11118,1
22360,0
19787,0
28079,0
8570,0
26793,0
162,0
770,0
2468,1
14586,0
29738,0
25978,0
20368,0
28189,0
7467,0
12164,0
17957,0
5208,0
16858,1
17205,0
15335,0
2390,0
5790,0
2425,0
2928,0
4405,0
26887,0
15628,0
933,0
13295,1
7057,1
5045,0
8355,0
25339,0
15636,0
7653,0
23115,1
10923,0
31821,1
20265,0
30402,0
14619,0
10309,0
10682,1
26052,0
19849,0
26534,0
8005,1
4267,0
7469,0
29051,0
22235,1
5589,0
3942,1
28022,0
9809,0
8432,0
9930,0
30351,0
3408,0
3571,0
8326,1
25888,1
10029,0
3906,0
4454,0
21524,1
27717,0
9436,0
18325,1
12043,1
3280,1
21637,0
14776,0
14927,0
1800,0
21043,0
18750,0
9412,1
2297,0
12301,0
31322,0
8149,0
12788,0
2611,0
9585,0
17257,0
2537,0
23931,0
26286,1
22595,0
16548,0
10318,0
9189,0
16607,0
5909,0
12115,0
11820,0
14486,0
31281,0
19359,0
12929,0
11739,1
24294,1
28653,1
4623,0
17658,1
21661,1
23659,0
22252,0
19482,1
6741,0
26018,1
18619,1
6634,1
15475,1
15983,1
18139,0
14178,1
26205,0
4508,1
16790,0
24410,0
23643,0
3955,1
29375,0
27819,0
8274,0
2025,1
20715,0
13881,0
2185,0
20552,0
16907,1
11109,1
27354,0
1875,0
29507,0
20266,1
1331,0
27818,0
25722,0
12983,0
22471,0
22375,0
12534,0
28949,0
7027,0
19554,0
14488,1
9571,1
1958,0
27780,1
14006,0
2472,0
1374,0
17217,1
32179,1
26114,1
9505,0
5034,0
13439,0
15837,0
17988,0
25467,1
3003,1
1648,0
21566,0
12962,0
15345,0
32486,0
9669,1
20708,0
17621,0
11910,0
22672,0
23575,1
6994,0
29131,1
29865,1
15485,0
10349,0
9781,0
13891,0
3462,0
11165,0
978,0
28982,0
32471,0
